** CONVERTED FROM /Users/nuhajabakhanji/Dropbox/SR Research PTB Demos/pursuit/DEMO.edf using edfapi 3.0 MacOS X Sep 19 2007 on Mon May  9 08:19:15 2011
** DATE: Mon May  9 08:18:51 2011
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BI9
** SERIAL NUMBER: CL1-77T66
** CAMERA_CONFIG: 77T66140.SCD
** Recorded by EyelinkToolbox demo-experiment
**

MSG	1975645 DISPLAY_COORDS 0 0 1568 945
INPUT	2027351	120
MSG	2027371 TRIALID 1
INPUT	2027372	120
INPUT	2027631	120
MSG	2029751 DRIFTCORRECT R REPEATING due to large error
MSG	2030453 DRIFTCORRECT R RIGHT at 262,473  OFFSET 3489926.25 deg.  99999696.0,99999528.0 pix.
INPUT	2030832	120
MSG	2030886 RECCFG CR 1000 2 1 R
MSG	2030886 ELCLCFG MTABLER
MSG	2030886 GAZE_COORDS 0.00 0.00 1568.00 945.00
MSG	2030886 THRESHOLDS R 110 226
MSG	2030886 ELCL_PROC CENTROID (3)
MSG	2030886 ELCL_PCR_PARAM 5 3.0
START	2030887 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	2030887 !MODE RECORD CR 1000 2 1 R
INPUT	2030887	120
2030887	  745.1	  471.5	 1000.0	...
2030888	  745.1	  471.5	 1000.0	...
2030889	  745.1	  471.5	 1000.0	...
2030890	  745.1	  471.5	 1000.0	...
2030891	  745.1	  471.5	 1000.0	...
2030892	  745.1	  471.5	 1000.0	...
2030893	  745.1	  471.5	 1000.0	...
SFIX R   2030894
2030894	  745.1	  471.5	 1000.0	...
2030895	  745.1	  471.5	 1000.0	...
2030896	  745.1	  471.5	 1000.0	...
2030897	  745.1	  471.5	 1000.0	...
2030898	  745.1	  471.5	 1000.0	...
2030899	  745.1	  471.5	 1000.0	...
2030900	  745.1	  471.5	 1000.0	...
2030901	  745.1	  471.5	 1000.0	...
2030902	  745.1	  471.5	 1000.0	...
2030903	  745.1	  471.5	 1000.0	...
2030904	  745.1	  471.5	 1000.0	...
2030905	  745.1	  471.5	 1000.0	...
2030906	  745.1	  471.5	 1000.0	...
2030907	  745.1	  471.5	 1000.0	...
2030908	  745.1	  471.5	 1000.0	...
2030909	  745.1	  471.5	 1000.0	...
2030910	  745.1	  471.5	 1000.0	...
2030911	  745.1	  471.5	 1000.0	...
2030912	  745.1	  471.5	 1000.0	...
2030913	  745.1	  471.5	 1000.0	...
2030914	  745.1	  471.5	 1000.0	...
2030915	  745.1	  471.5	 1000.0	...
2030916	  745.1	  471.5	 1000.0	...
2030917	  745.1	  471.5	 1000.0	...
2030918	  745.1	  471.5	 1000.0	...
2030919	  745.1	  471.5	 1000.0	...
